full_webcnp_(January_2020),Definition,Test,Field Type,Notes
PCET_A.PCET_TRIAL000083_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000083_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000083_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000083_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000084_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000084_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000084_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000084_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000084_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000085_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000085_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000085_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000085_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000085_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000086_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000086_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000086_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000086_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000086_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000087_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000087_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000087_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000087_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000087_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000088_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000088_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000088_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000088_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000088_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000089_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000089_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000089_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000089_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000089_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000090_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000090_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000090_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000090_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000090_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000091_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000091_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000091_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000091_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000091_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000092_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000092_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000092_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000092_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000092_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000093_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000093_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000093_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000093_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000093_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000094_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000094_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000094_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000094_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000094_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000095_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000095_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000095_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000095_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000095_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000096_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000096_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000096_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000096_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000096_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000097_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000097_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000097_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000097_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000097_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000098_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000098_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000098_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000098_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000098_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000099_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000099_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000099_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000099_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000099_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000100_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000100_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000100_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000100_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000100_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000101_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000101_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000101_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000101_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000101_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000102_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000102_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000102_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000102_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000102_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000103_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000103_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000103_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000103_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000103_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000104_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000104_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000104_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000104_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000104_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000105_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000105_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000105_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000105_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000105_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000106_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000106_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000106_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000106_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000106_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000107_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000107_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000107_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000107_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000107_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000108_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000108_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000108_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000108_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000108_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000109_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000109_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000109_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000109_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000109_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000110_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000110_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000110_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000110_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000110_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000111_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000111_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000111_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000111_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000111_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000112_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000112_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000112_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000112_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000112_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000113_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000113_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000113_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000113_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000113_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000114_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000114_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000114_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000114_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000114_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000115_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000115_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000115_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000115_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000115_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000116_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000116_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000116_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000116_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000116_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000117_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000117_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000117_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000117_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000117_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000118_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000118_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000118_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000118_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000118_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000119_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000119_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000119_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000119_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000119_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000120_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000120_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000120_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000120_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000120_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000121_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000121_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000121_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000121_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000121_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000122_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000122_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000122_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000122_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000122_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000123_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000123_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000123_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000123_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000123_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000124_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000124_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000124_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000124_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000124_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000125_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000125_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000125_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000125_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000125_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000126_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000126_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000126_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000126_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000126_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000127_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000127_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000127_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000127_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000127_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000128_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000128_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000128_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000128_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000128_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000129_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000129_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000129_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000129_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000129_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000130_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000130_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000130_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000130_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000130_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000131_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000131_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000131_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000131_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000131_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000132_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000132_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
