folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Sleep Questionnaires/Sleep Disturbance,sched_3900,"Self-reported number of awakenings on weekend nights, non-school nights, non-work nights or days","On average, how many times do you awaken during the night on non-work (non-school) nights?   ____ times per night",integer,event count,"",insomnia,"","",""
Sleep Questionnaires/Sleep Disturbance,sched_4000,"Self-reported total awake duration (i.e. wake after sleep onset) on weekend nights, non-school nights,non-work nights or days","On average, how much total time do you spend awake during these awakenings on non-work (non-school) nights?   _____ hours   ",integer,hours,"",insomnia,"","",""
Sleep Questionnaires/Sleep Disturbance,sched_4010,"Self-reported total awake duration (i.e. wake after sleep onset) on weekend nights, non-school nights,non-work nights or days","On average, how much total time do you spend awake during these awakenings on non-work (non-school) nights?   _____ minutes",integer,minutes,"",insomnia,"","",""
Sleep Questionnaires/Sleep Disturbance,sched_4100,"Self-reported sleep quality for weekend nights, non-school nights, non-work nights or days",Rate the usual quality of your sleep,choices,"",verygood,sleep_quality,"","",""
Sleep Questionnaires/Sleep Disturbance,sched_4200,"Amount of sleep needed to feel fully rested, hours",How many hours of sleep do you need to feel fully rested? _____ hours  ,integer,hours,"",sleep_satisfaction,"","",""
Sleep Questionnaires/Sleep Disturbance,sched_4201,"Amount of sleep needed to feel fully rested, never rested",How many hours of sleep do you need to feel fully rested? I never feel fully rested,choices,"",noyes,sleep_satisfaction,"","",""
Sleep Questionnaires/Sleep Disturbance,sched_4210,"Amount of sleep needed to feel fully rested, minutes",How many hours of sleep do you need to feel fully rested? _____ minutes  ,integer,minute,"",sleep_satisfaction,"","",""
Sleep Questionnaires/Sleep Disturbance,slpy_0300,"Perform activities without awareness when sleepy, number of times","When sleepy, how often do you perform activities without being aware of doing things for a few seconds or minutes (e.g., drive a car without remembering the last few minutes, read without remembering what you read, etc.)?  (Enter 0"" if you do not perform activities without awareness)""",integer,event count,"",sleep_related_impairment,"","",""
Sleep Questionnaires/Sleep Disturbance,slpy_0301,"Perform activities without awareness when sleepy, never","When sleepy, how often do you perform activities without being aware of doing things for a few seconds or minutes (e.g., drive a car without remembering the last few minutes, read without remembering what you read, etc.)?  Never",choices,"",noyes,sleep_related_impairment,"","",""
Sleep Questionnaires/Sleep Disturbance,slpy_0310,"Perform activities without awareness when sleepy, time frame","When sleepy, how often do you perform activities without being aware of doing things for a few seconds or minutes (e.g., drive a car without remembering the last few minutes, read without remembering what you read, etc.)? Per day/week/month/year",choices,"",dayyear,sleep_related_impairment,"","",""
Sleep Questionnaires/Sleep Disturbance,slpy_0400,"Had an accident or near miss due to sleepiness, number of event","How many times have you had an accident (motor vehicle, home or work related) or a near miss accident due to sleepiness?  (Enter 0"" if you have never had an accident or near miss accident due to sleepiness).   """,integer,event count,"",sleep_related_impairment,"","",""
Sleep Questionnaires/Sleep Disturbance,slpy_0410,"Had an accident or near miss due to sleepiness, last occurrence",Approximately what year did the last accident or near miss occur?,integer,year,"",sleep_related_impairment,"","",""
Sleep Questionnaires/Sleep Disturbance,tab_0100,Trivial things of no importance,"During the past month, when you lie awake in bed, how often do you think about the following?",choices,"",neveronlyfreq5dk,insomnia,"","",""
Sleep Questionnaires/Sleep Disturbance,tab_0200,What happened today and what you have to do tomorrow,"During the past month, when you lie awake in bed, how often do you think about the following?",choices,"",neveronlyfreq5dk,insomnia,"","",""
Sleep Questionnaires/Sleep Disturbance,tab_0300,How long you've been lying awake,"During the past month, when you lie awake in bed, how often do you think about the following?",choices,"",neveronlyfreq5dk,insomnia,"","",""
Sleep Questionnaires/Sleep Disturbance,tab_0400,How you are going to cope tomorrow if you don't sleep well tonight,"During the past month, when you lie awake in bed, how often do you think about the following?",choices,"",neveronlyfreq5dk,insomnia,"","",""
Sleep Questionnaires/Sleep Disturbance,tab_0500,Noises you can hear in the house or outside,"During the past month, when you lie awake in bed, how often do you think about the following?",choices,"",neveronlyfreq5dk,insomnia,"","",""
Sleep Questionnaires/Sleep Disturbance,tab_0600,Your body feeling hot or cold,"During the past month, when you lie awake in bed, how often do you think about the following?",choices,"",neveronlyfreq5dk,insomnia,"","",""
Sleep Questionnaires/Sleep Disturbance,tab_0700,Your heart beat pounding in your head,"During the past month, when you lie awake in bed, how often do you think about the following?",choices,"",neveronlyfreq5dk,insomnia,"","",""
Sleep Questionnaires/Sleep Disturbance,tab_0800,How out of control your sleep is and you don't know what to do about it,"During the past month, when you lie awake in bed, how often do you think about the following?",choices,"",neveronlyfreq5dk,insomnia,"","",""
Sleep Questionnaires/Sleep Disturbance,tab_0900,Things that have happened in the past and how they worked out,"During the past month, when you lie awake in bed, how often do you think about the following?",choices,"",neveronlyfreq5dk,insomnia,"","",""
Sleep Questionnaires/Sleep Disturbance,tab_1000,What the future might hold and what you should do for things to work out well,"During the past month, when you lie awake in bed, how often do you think about the following?",choices,"",neveronlyfreq5dk,insomnia,"","",""
Sleep Questionnaires/Sleep Habits,bthbts_0300,Last use TV or computer before bed,How long before bedtime do you last use a computer or television?,choices,"",hours,sleep_hygiene,"","",""
Sleep Questionnaires/Sleep Habits,sched_0900,"Self-reported in-bed time on week nights, school nights, work nights or days, current shift","When working these hours, what time do you usually get into bed to sleep?   ",time,time,"",sleep_timing,"","",""
Sleep Questionnaires/Sleep Habits,sched_0901,"Self-reported in-bed time on week nights, school nights, work nights or days, current shift - varies","When working these hours, what time do you usually get into bed to sleep?   It varies.",choices,"",noyes,sleep_timing,"","",""
Sleep Questionnaires/Sleep Habits,sched_1000,"Self-reported out-bed time on week nights, school nights, work nights or days, current shift","When working these hours, what time do you usually get out of bed after sleeping?   ",time,time,"",sleep_timing,"","",""
Sleep Questionnaires/Sleep Habits,sched_1001,"Self-reported out-bed time on week nights, school nights, work nights or days, current shift - varies","When working these hours, what time do you usually get out of bed after sleeping?   It varies.",choices,"",noyes,sleep_timing,"","",""
Sleep Questionnaires/Sleep Habits,sched_1300,"Self-reported in-bed time on week nights, school nights, work nights or days, next shift","When working these hours, what time do you usually get into bed to sleep?   ",time,time,"",sleep_timing,"","",""
Sleep Questionnaires/Sleep Habits,sched_1301,"Self-reported in-bed time on week nights, school nights, work nights or days, next shift - varies","When working these hours, what time do you usually get into bed to sleep?   It varies.",choices,"",noyes,sleep_timing,"","",""
Sleep Questionnaires/Sleep Habits,sched_1400,"Self-reported out-bed time on week nights, school nights, work nights or days, next shift","When working these hours, what time do you usually get out of bed after sleeping?   ",time,time,"",sleep_timing,"","",""
Sleep Questionnaires/Sleep Habits,sched_1401,"Self-reported out-bed time on week nights, school nights, work nights or days, next shift - varies","When working these hours, what time do you usually get out of bed after sleeping?   It varies.",choices,"",noyes,sleep_timing,"","",""
Sleep Questionnaires/Sleep Habits,sched_1700,"Self-reported in-bed time on week nights, school nights, work nights or days, 3rd shift","When working these hours, what time do you usually get into bed to sleep?   ",time,time,"",sleep_timing,"","",""
Sleep Questionnaires/Sleep Habits,sched_1701,"Self-reported in-bed time on week nights, school nights, work nights or days, 3rd shift - varies","When working these hours, what time do you usually get into bed to sleep?   It varies.",choices,"",noyes,sleep_timing,"","",""
Sleep Questionnaires/Sleep Habits,sched_1800,"Self-reported in-bed time on week nights, school nights, work nights or days, 3rd shift","When working these hours, what time do you usually get out of bed after sleeping?   ",time,time,"",sleep_timing,"","",""
Sleep Questionnaires/Sleep Habits,sched_1801,"Self-reported in-bed time on week nights, school nights, work nights or days, 3rd shift - varies","When working these hours, what time do you usually get out of bed after sleeping?   It varies.",choices,"",noyes,sleep_timing,"","",""
Sleep Questionnaires/Sleep Habits,sched_1900,"Self-reported in-bed time on weekend nights, non-school nights, non-work nights or days","On days you are not working, what time do you usually get into bed to sleep? ",time,time,"",sleep_timing,"","",""
Sleep Questionnaires/Sleep Habits,sched_1901,"Self-reported in-bed time on weekend nights, non-school nights, non-work nights or days - varies","On days you are not working, what time do you usually get into bed to sleep? It varies.",choices,"",noyes,sleep_timing,"","",""
Sleep Questionnaires/Sleep Habits,sched_2000,"Self-reported out-bed time on weekend nights, non-school nights, non-work nights or days","On days you are not working, what time do you usually get out of bed after sleeping?  ",time,time,"",sleep_timing,"","",""
Sleep Questionnaires/Sleep Habits,sched_2001,"Self-reported out-bed time on weekend nights, non-school nights, non-work nights or days - varies","On days you are not working, what time do you usually get out of bed after sleeping?  It varies",choices,"",noyes,sleep_timing,"","",""
Sleep Questionnaires/Sleep Habits,sched_2200,"Self-reported sleep latency on week nights, school nights, work nights or days, current shift","On average, how long does it take you to fall asleep on work (school) nights?   Hours",integer,hours,"",sleep_latency,"","",""
Sleep Questionnaires/Sleep Habits,sched_2210,"Self-reported sleep latency on week nights, school nights, work nights or days, current shift","On average, how long does it take you to fall asleep on work (school) nights?   Minutes",integer,minutes,"",sleep_latency,"","",""
Sleep Questionnaires/Sleep Habits,sched_2300,"Self-reported total sleep duration (i.e. total sleep time) on week nights, school nights, work nights or days, current shift","On average, how much sleep do you get on work (school) nights? Hours",integer,hours,"",sleep_duration,"","",""
Sleep Questionnaires/Sleep Habits,sched_2310,"Self-reported total sleep duration (i.e. total sleep time) on week nights, school nights, work nights or days, current shift","On average, how much sleep do you get on work (school) nights? Minutes",integer,minutes,"",sleep_duration,"","",""
Sleep Questionnaires/Sleep Habits,sched_2700,"Self-reported sleep latency on week nights, school nights, work nights or days, next shift","On average, how long does it take you to fall asleep on work (school) nights?   Hours",integer,"","",sleep_latency,"","",""
Sleep Questionnaires/Sleep Habits,sched_2710,"Self-reported sleep latency on week nights, school nights, work nights or days, next shift","On average, how long does it take you to fall asleep on work (school) nights?   Minutes",integer,"","",sleep_latency,"","",""
Sleep Questionnaires/Sleep Habits,sched_2800,"Self-reported total sleep duration (i.e. total sleep time) on week nights, school nights, work nights or days, next shift","On average, how much sleep do you get on work (school) nights? Hours",integer,hours,"",sleep_duration,"","",""
Sleep Questionnaires/Sleep Habits,sched_2810,"Self-reported total sleep duration (i.e. total sleep time) on week nights, school nights, work nights or days, next shift","On average, how much sleep do you get on work (school) nights? Minutes",integer,minutes,"",sleep_duration,"","",""
Sleep Questionnaires/Sleep Habits,sched_3200,"Self-reported sleep latency on week nights, school nights, work nights or days, 3rd shift","On average, how long does it take you to fall asleep on work (school) nights?   Hours",integer,hours,"",sleep_latency,"","",""
Sleep Questionnaires/Sleep Habits,sched_3210,"Self-reported sleep latency on week nights, school nights, work nights or days, 3rd shift","On average, how long does it take you to fall asleep on work (school) nights?   Minutes",integer,minutes,"",sleep_latency,"","",""
Sleep Questionnaires/Sleep Habits,sched_3300,"Self-reported total sleep duration (i.e. total sleep time) on week nights, school nights, work nights or days, 3rd shift","On average, how much sleep do you get on work (school) nights? Hours",integer,hours,"",sleep_duration,"","",""
Sleep Questionnaires/Sleep Habits,sched_3310,"Self-reported total sleep duration (i.e. total sleep time) on week nights, school nights, work nights or days, 3rd shift","On average, how much sleep do you get on work (school) nights? Minutes",integer,minutes,"",sleep_duration,"","",""
Sleep Questionnaires/Sleep Habits,sched_3700,"Self-reported sleep latency on weekend nights, non-school nights, non-work nights or days","On average, how long does it take you to fall asleep on non-work (non-school) nights? ___ hours",integer,hours,"",sleep_latency,"","",""
Sleep Questionnaires/Sleep Habits,sched_3710,"Self-reported sleep latency on weekend nights, non-school nights, non-work nights or days","On average, how long does it take you to fall asleep on non-work (non-school) nights? ___ minutes",integer,minutes,"",sleep_latency,"","",""
Sleep Questionnaires/Sleep Habits,sched_3800,"Self-reported total sleep duration (i.e. total sleep time) on weekend nights, non-school nights, non-work nights or days","On average, how much sleep do you get non-work (non-school) nights ?   _____ hours   ",integer,hours,"",sleep_duration,"","",""
Sleep Questionnaires/Sleep Habits,sched_3810,"Self-reported total sleep duration (i.e. total sleep time) on weekend nights, non-school nights, non-work nights or days","On average, how much sleep do you get non-work (non-school) nights ?   _____ minutes",integer,minutes,"",sleep_duration,"","",""
Sleep Questionnaires/Sleep Habits,soclhx_0100,Self-reported frequency of napping,How often do you nap? Number of times,integer,event count,"",sleep_hygiene,"","",""
Sleep Questionnaires/Sleep Habits,soclhx_0101,Rarely or never nap,How often do you nap? I rarely or never nap,choices,"",noyes,sleep_hygiene,"","",""
Sleep Questionnaires/Sleep Habits,soclhx_0110,Self-reported frequency of napping,How often do you nap? Per day/week/month,choices,"",weekmonthyear,sleep_hygiene,"","",""
Sleep Questionnaires/Sleep Habits,soclhx_0200,Self-reported usual duration of naps,What is the usual length of your naps?  - hours,integer,hours,"",sleep_hygiene,"","",""
Sleep Questionnaires/Sleep Habits,soclhx_0210,Self-reported usual duration of naps,What is the usual length of your naps?  - minutes,integer,minutes,"",sleep_hygiene,"","",""
Sleep Questionnaires/Sleep Habits,soclhx_0300,Feeling refreshed after nap,"After a nap, do you feel refreshed (not sleepy anymore)?",choices,"",rarely,sleep_hygiene,"","",""
Sleep Questionnaires/Sleep Habits,soclhx_0400,Easily awakened after nap,"When you nap, can you easily waken?",choices,"",rarelywake,sleep_hygiene,"","",""
Sleep Questionnaires/Sleep Habits,soclhx_0800,"Alcohol consumption, as sleep aid",Do you consume alcohol to help you fall asleep?  ,choices,"",noyes,sleep_hygiene,"","",""
Sleep Treatment/Adherence/CPAP Adherence,mdhx_0700,Frequency of PAP use,How many nights do you use the device during an average week?,integer,days,"","","","",""
Sleep Treatment/Adherence/CPAP Adherence,mdhx_0800,"On nights PAP was used, how many hours of PAP use","On nights that you use the device, how many hours do you usually use it?   ",numeric,hours,"","","","",""
Sleep Treatment/Adherence/CPAP Adherence,pap_0100,Fall asleep before your mask/ PAP is on,"",choices,"",neverrarely,"","","",""
Sleep Treatment/Adherence/CPAP Adherence,pap_0200,Remove your mask unknowingly while sleeping,"",choices,"",neverrarely,"","","",""
Sleep Treatment/Adherence/CPAP Adherence,pap_0300,Forget to put mask on after bathroom,"",choices,"",neverrarely,"","","",""
Sleep Treatment/Adherence/CPAP Adherence,pap_0400,Forget to use your PAP with naps,"",choices,"",neverrarelynap,"","","",""
Sleep Treatment/Adherence/CPAP Adherence,pap_0500,Forget to take your PAP when you travel,"",choices,"",neverrarelytravel,"","","",""
Sleep Treatment/Adherence/CPAP Adherence,pap_0600,Do you use a heated humidifier,"",choices,"",noyesdontknow,"","","",""
Sleep Treatment/Adherence/CPAP Adherence,pap_0700,Does your PAP have a heated tube?,"",choices,"",noyesdontknow,"","","",""
Sleep Treatment/Adherence/CPAP Adherence,pap_0800,How often do you use your heated humidifier,"",choices,"",nightly,"","","",""
Sleep Treatment/Adherence/CPAP Adherence,pap_1200,How often do you get water in my tubing/ mask,"",choices,"",neverrarely,"","","",""
Sleep Treatment/Adherence/CPAP Adherence,pap_1300,My current mask type,"",choices,"",masktype,"","","",""
Sleep Treatment/Adherence/CPAP Adherence,pap_1400,My mask size,"",choices,"",masksize,"","","",""
Sleep Treatment/Adherence/CPAP Adherence,pap_1600,When was the last time you replaced your mask,"",choices,"",monthfreq,"","","",""
Sleep Treatment/Adherence/CPAP Adherence,pap_1700,When was the last time you checked or changed your filters,"",choices,"",monthfreq,"","","",""
Sleep Treatment/Adherence/CPAP Adherence,pap_1800,When was the last time you checked or changed your tube,"",choices,"",monthfreq,"","","",""
Sleep Treatment/Adherence/CPAP Adherence,pap_1900,How do you feel about your current mask,"",choices,"",currmask,"","","",""
Sleep Treatment/Adherence/CPAP Adherence,pap_2100,Do you use a chin strap  ,"",choices,"",neverrarely,"","","",""
Sleep Treatment,mdhx_0400,Type of PAP Device,What type of PAP device do you have?,choices,"",paptype,"","","",""
